locnumber;standyear;rotation;clone;repetition;shoots;dbh1;d0.1 1;dbh2;d0.1 2;dbh3;d0.1 3;dbh4;d0.1 4;dbh5;d0.1 5;dbh6;d0.1 6;dbh7;d0.1 7;dbh8;d0.1 8;dbh9;d0.1 9;dbh10;d0.1 10;dbh11;d0.1 11;dbh12;dbh13;dbh14;dbh15;height;l 1;l 2;l 3;l 4;l 5;l 6;l 7;l 8;l 9;l 10;l 11;l 12;l 13;remark;location;acqdate;treenumber
37;1;1;1;1;1;8;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;17
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;18
37;1;1;1;1;1;13;19;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;20090209;19
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;20
37;1;1;1;1;1;13;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;21
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;22
37;1;1;1;1;1;12;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;23
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;24
37;1;1;1;1;2;11;19;6;12;;;;;;;;;;;;;;;;;;;;;;;;21;14;;;;;;;;;;;;;;20090209;25
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;26
37;1;1;1;1;4;5;9;3;6;6;11;4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;27
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;28
37;1;1;1;1;1;10;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;29
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;30
37;1;1;1;1;1;13;23;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;20090209;31
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;32
37;1;1;1;1;1;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;33
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;34
37;1;1;1;1;1;14;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;35
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;36
37;1;1;1;1;1;16;23;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;20090209;37
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;38
37;1;1;1;1;1;14;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;39
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;40
37;1;1;1;1;2;8;15;7;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;41
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;42
37;1;1;1;1;2;11;17;5;7;;;;;;;;;;;;;;;;;;;;;;;;21;8,5;;;;;;;;;;;;;;20090209;43
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;44
37;1;1;1;1;1;12;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;45
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;46
37;1;1;1;1;1;7;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;47
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;48
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;1
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;2
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;3
37;1;1;2;1;1;7;15;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;20090209;4
37;1;1;2;1;1;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;5
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;6
37;1;1;2;1;1;9;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;7
37;1;1;2;1;1;7;13;;;;;;;;;;;;;;;;;;;;;;;;;;15,5;;;;;;;;;;;;;;;20090209;8
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;9
37;1;1;2;1;1;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;10
37;1;1;2;1;1;7;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;11
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;12
37;1;1;2;1;1;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;20090209;13
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;14
37;1;1;2;1;1;10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;15
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;16
37;1;1;2;1;1;9;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;17
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;18
37;1;1;2;1;1;7;12;;;;;;;;;;;;;;;;;;;;;;;;;;14,5;;;;;;;;;;;;;;;20090209;19
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;20
37;1;1;2;1;1;9;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;21
37;1;1;2;1;2;12;18;7;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;22
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;23
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;24
37;1;1;2;1;2;9;18;7;13;;;;;;;;;;;;;;;;;;;;;;;;20;14,5;;;;;;;;;;;;;;20090209;25
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;26
37;1;1;2;1;1;9;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;27
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;28
37;1;1;2;1;1;7;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;29
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;30
37;1;1;2;1;1;13;23;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;20090209;31
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;32
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;33
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;34
37;1;1;2;1;1;11;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;35
37;1;1;2;1;1;11;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;36
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;37
37;1;1;2;1;1;7;14;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;20090209;38
37;1;1;2;1;2;9;17;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;39
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;40
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;41
37;1;1;2;1;1;8;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;42
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;43
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;44
37;1;1;2;1;2;8;16;7;14;;;;;;;;;;;;;;;;;;;;;;;;18;14,5;;;;;;;;;;;;;;20090209;45
37;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;46
37;1;1;2;1;1;7;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;47
37;1;1;2;1;2;7;12;4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;48
37;1;1;3;1;2;13;23;13;23;;;;;;;;;;;;;;;;;;;;;;;;23;22;;;;;;;;;;;;;;20090209;1
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;2
37;1;1;3;1;1;14;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;3
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;4
37;1;1;3;1;1;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;5
37;1;1;3;1;1;14;28;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;20090209;6
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;7
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;8
37;1;1;3;1;1;16;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;9
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;10
37;1;1;3;1;2;15;23;11;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;11
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;12
37;1;1;3;1;2;7;15;5;8;;;;;;;;;;;;;;;;;;;;;;;;13,5;7;;;;;;;;;;;;;;20090209;13
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;14
37;1;1;3;1;2;5;9;4;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;15
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;16
37;1;1;3;1;1;18;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;17
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;18
37;1;1;3;1;1;15;22;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;20090209;19
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;20
37;1;1;3;1;1;14;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;21
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;22
37;1;1;3;1;1;14;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;23
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;24
37;1;1;3;1;1;12;18;;;;;;;;;;;;;;;;;;;;;;;;;;20,5;;;;;;;;;;;;;;;20090209;25
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;26
37;1;1;3;1;2;18;29;9;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;27
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;28
37;1;1;3;1;1;15;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;29
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;30
37;1;1;3;1;1;16;27;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;20090209;31
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;32
37;1;1;3;1;2;14;26;7;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;33
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;34
37;1;1;3;1;1;15;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;35
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;36
37;1;1;3;1;2;15;27;11;20;;;;;;;;;;;;;;;;;;;;;;;;24;21;;;;;;;;;;;;;;20090209;37
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;38
37;1;1;3;1;1;15;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;39
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;40
37;1;1;3;1;1;14;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;41
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;42
37;1;1;3;1;1;21;30;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;20090209;43
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;44
37;1;1;3;1;2;16;23;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;45
37;1;1;3;1;1;15;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;46
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;47
37;1;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;48
37;1;1;4;1;2;11;15;12;17;;;;;;;;;;;;;;;;;;;;;;;;22;32;;;;;;;;;;;;;;20090209;1
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;2
37;1;1;4;1;2;13;20;13;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;3
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;4
37;1;1;4;1;1;8;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;5
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;6
37;1;1;4;1;2;7;10;6;9;;;;;;;;;;;;;;;;;;;;;;;;14,5;10;;;;;;;;;;;;;;20090209;7
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;8
37;1;1;4;1;2;11;14;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;9
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;10
37;1;1;4;1;3;10;16;12;18;4;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;11
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;12
37;1;1;4;1;2;13;18;11;17;;;;;;;;;;;;;;;;;;;;;;;;31;25;;;;;;;;;;;;;;20090209;13
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;14
37;1;1;4;1;2;10;15;7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;15
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;16
37;1;1;4;1;2;12;17;8;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;17
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;18
37;1;1;4;1;3;14;20;6;10;5;7;;;;;;;;;;;;;;;;;;;;;;33;14,5;7,5;;;;;;;;;;;;;20090209;19
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;20
37;1;1;4;1;2;9;14;7;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;21
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;22
37;1;1;4;1;7;12;7;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;23
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;24
37;1;1;4;1;3;7;12;7;12;4;7;;;;;;;;;;;;;;;;;;;;;;18,5;19;9;;;;;;;;;;;;;20090209;25
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;26
37;1;1;4;1;2;11;16;10;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;27
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;28
37;1;1;4;1;3;15;23;9;11;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;29
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;30
37;1;1;4;1;3;14;20;7;13;3;5;;;;;;;;;;;;;;;;;;;;;;29;18;8;;;;;;;;;;;;;20090209;31
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;32
37;1;1;4;1;2;12;20;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;33
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;34
37;1;1;4;1;4;11;18;12;22;10;15;6;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;35
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;36
37;1;1;4;1;2;14;24;9;14;;;;;;;;;;;;;;;;;;;;;;;;30;18,5;;;;;;;;;;;;;;20090209;37
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;38
37;1;1;4;1;3;9;15;4;8;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;39
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;40
37;1;1;4;1;4;13;18;11;15;5;11;4;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;41
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;42
37;1;1;4;1;3;11;17;9;17;4;8;;;;;;;;;;;;;;;;;;;;;;35;33;14;;;;;;;;;;;;;20090209;43
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;44
37;1;1;4;1;2;12;17;13;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;45
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;46
37;1;1;4;1;1;13;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;47
37;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;48
37;1;1;5;1;2;9;13;10;20;;;;;;;;;;;;;;;;;;;;;;;;25;23;;;;;;;;;;;;;;20090209;1
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;2
37;1;1;5;1;1;14;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;3
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;4
37;1;1;5;1;2;13;19;8;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;5
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;6
37;1;1;5;1;1;15;23;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;20090209;7
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;8
37;1;1;5;1;1;14;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;9
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;10
37;1;1;5;1;1;9;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;11
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;12
37;1;1;5;1;2;8;12;9;15;;;;;;;;;;;;;;;;;;;;;;;;18;24;;;;;;;;;;;;;;20090209;13
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;14
37;1;1;5;1;1;15;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;15
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;16
37;1;1;5;1;1;5;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;17
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;18
37;1;1;5;1;1;12;18;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;20090209;19
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;20
37;1;1;5;1;3;12;17;11;17;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;21
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;22
37;1;1;5;1;1;14;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;23
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;24
37;1;1;5;1;3;5;7;3;7;3;7;;;;;;;;;;;;;;;;;;;;;;18;9,5;9;;;;;;;;;;;;;20090209;25
37;1;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;26
37;1;1;5;1;2;7;11;7;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;27
